,Dependent-Company Status,year of founding,Internet Activity Score,Focus functions of company,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Amount,Country of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Renown score,Market Research,Marketing,Analytics,Software Development,Mobile,Enterprise Software,Media,Cloud Computing,Network / Hosting / Infrastructure,Social Networking,Retail,Entertainment,Healthcare,Energy,Search,Food & Beverages,Music,Publishing,Gaming,Email,Career / Job Search
10,Success,2011.0,762.0,"Sales, marketing",34.0,0.0,No,1/1/2011,16000000.0,United States,0.0,0.0,2,1,8,No,0.0,medium,No,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,No,Many,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,High,Bachelors,Geology,No,Yes,None,500.0,High,0.0,0.0,1.0,None,4.0,None,14.5,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,No,High,142907.0,Yes,Yes,No,4.0,Medium,4.0,25.0,16,Not Applicable,24.0,2.666666667,Trough,2 to 5,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Success,2010.0,140.0,operations,31.0,3.0,No,1/1/2010,6300000.0,United States,0.0,1.0,0,1,7,No,1.0,medium,No,,Yes,Yes,No,No,Product,Yes,Private,No,Structured,No,Platform,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,None,High,Yes,High,Masters, Visual Studies,Yes,Yes,Tier_1,500.0,High,0.0,0.0,0.0,Low,0.0,Few,12.0,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,Yes,Low,1560315.0,No,No,No,3.0,Medium,0.0,16.6,6.3,Not Applicable,18.0,3.85,Plateau,0 to 2,0.0,,,,,,,,,,,,,,,,,,,,,
12,Success,2010.0,115.0,"Marketing 
sales",47.0,7.0,No,1/1/2010,11500000.0,United States,0.0,0.0,0,1,8,No,1.0,high,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,Law,Yes,Yes,None,500.0,High,1.0,0.0,0.0,None,0.0,Few,0.0,High,Medium,Yes,No,Low,Good,No,Yes,Yes,Yes,No,No,Low,172054.0,No,Yes,No,3.0,Medium,0.0,16.6,11.5,Not Applicable,12.0,6.0,Trigger,2 to 5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Success,2008.0,277.0,Technology,22.0,0.0,No,6/20/2008,6500000.0,United States,0.0,0.0,3,0,6,No,0.0,low,No,Large,Yes,No,Yes,Yes,Product,No,Public,Yes,Both,Yes,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,Low,Bachelors,"Learning and Organizational Change
Computer Science",Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,1.0,Medium,1.0,None,20.5,Medium,Medium,Yes,No,Low,,,No,Yes,No,No,No,Low,99081.0,Yes,Yes,Yes,3.0,Medium,0.0,4.4,6.5,Yes,14.0,7.333333333,Trigger,5 to 10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,Success,2010.0,242.0,"marketing, sales",13.0,0.0,No,1/1/2010,2800000.0,United States,0.0,2.0,2,0,5,No,0.0,high,No,Medium,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,PhD,Communication,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,0.0,High,1.0,Few,22.5,High,Medium,Yes,No,Low,,Yes,Yes,Yes,No,No,No,Low,713494.0,Yes,Yes,No,3.0,Medium,0.0,16.6,2.8,Not Applicable,48.0,48.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,Success,2008.0,533.0,Data Management,129.0,8.0,Yes,1/1/2008,41000000.0,United States,0.0,0.0,2,0,8,No,0.0,high,No,,No,No,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,Business management,Yes,Yes,Tier_1,500.0,High,0.0,1.0,0.0,Low,9.0,Few,21.0,High,Medium,Yes,No,Low,Bad,Yes,No,Yes,Yes,No,No,High,289041.0,Yes,Yes,No,3.0,Medium,0.0,40.0,41,Yes,38.0,8.0,Peak,2 to 5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Success,2010.0,-81.0,Marketing,23.0,0.0,No,1/1/2010,3499999.0,United States,0.0,3.0,1,0,7,No,2.0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Many,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,Computer Science,Yes,Yes,Tier_1,417.0,High,0.0,0.0,0.0,None,1.0,Few,12.0,Medium,Medium,Yes,No,Low,Good,No,Yes,Yes,No,No,No,Low,1939943.0,Yes,Yes,No,3.0,Medium,0.0,16.6,3.499999,Not Applicable,3.0,11.06666667,Slope,2 to 5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Success,2009.0,471.0,Marketing & Sales,52.0,-4.0,No,6/1/2009,10000000.0,United States,0.0,0.0,3,0,8,No,2.0,low,No,Small,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Few,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,Communication,Yes,Yes,Tier_2,500.0,High,0.0,0.0,0.0,Low,0.0,Few,4.5,High,Medium,Yes,No,Low,Good,,Yes,Yes,No,No,No,High,276491.0,Yes,Yes,No,4.0,High,0.0,12.5,10,Not Applicable,30.0,12.61666667,Trough,2 to 5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Success,2002.0,47.0,Solution providing,46.0,2.0,Yes,1/1/2002,750000.0,United States,0.0,3.0,0,0,8,No,0.0,medium,Yes,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,local,Non-Linear,Yes,Many,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,Low,High,Yes,High,Masters,economics,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,0.0,None,0.0,Few,18.5,High,High,Yes,No,High,,No,Yes,No,Yes,No,No,High,3341960.0,Yes,Yes,No,4.0,High,0.0,18.18,0.75,Yes,35.0,24.625,,,5.0,,,,,,,,,,,,,,,,,,,,,
19,Success,2010.0,60.0,"Marketing 
sales",5.0,0.0,No,4/1/2010,749999.0,United States,0.0,6.0,2,0,4,No,0.0,low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Both,No,Cloud,Local,Non-Linear,,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,Electrical Engineering,No,Yes,Tier_1,500.0,High,0.0,0.0,0.0,None,0.0,None,0.0,High,High,No,No,High,,No,No,Yes,No,No,No,,2461569.0,No,Yes,No,4.0,High,4.0,16.6,0.749999,Not Applicable,20.0,5.455555556,Trigger,2 to 5,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Success,2010.0,70.0,Marketing,27.0,0.0,Yes,1/1/2010,5000000.0,United States,0.0,1.0,2,0,5,No,0.0,medium,Yes,Medium,Yes,No,No,No,Both,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Offline,B2B,High,High,Yes,Low,Bachelors,Computer Science,Yes,Yes,None,410.0,High,1.0,1.0,1.0,High,56.0,None,22.0,Medium,Medium,Yes,No,Low,Good,Yes,Yes,No,No,No,No,Medium,1246836.0,Yes,No,No,4.0,Medium,0.0,8.6,5,Not Applicable,15.0,15.0,Slope,2 to 5,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Success,2005.0,242.0,Social Media,,,Yes,1/1/2005,1500000.0,United States,0.0,0.0,2,0,4,No,0.0,medium,No,Medium,Yes,Yes,Yes,Yes,Both,Yes,Public,No,Both,Yes,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Both,B2B,High,High,Yes,High,Masters,MBA,Yes,Yes,Tier_1,500.0,Low,1.0,1.0,1.0,Low,100.0,Few,14.0,Low,Low,No,No,Medium,Bad,No,No,No,Yes,No,No,High,269278.0,No,Yes,No,4.0,High,0.0,3.25,1.5,Yes,96.0,96.0,Plateau,2 to 5,0.0,,,,,,,,,,,,,,,,,,,,,
22,Success,2012.0,245.0,Marketing,32.0,3.0,Yes,1/1/2012,15000000.0,United States,0.0,0.0,3,8,3,Yes,2.0,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,No,No,Offline,B2B,High,High,Yes,Medium,Masters,Computer Science,Yes,Yes,Tier_2,500.0,Low,1.0,1.0,1.0,High,58.0,None,17.0,High,Medium,No,Yes,Low,Bad,Yes,No,No,Yes,No,No,High,761788.0,No,No,No,3.0,Medium,0.0,33.0,15,Not Applicable,10.0,7.3666666670000005,Peak,2 to 5,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Success,2009.0,,targeted marketing,,,Yes,,,,6.0,0.0,2,6,5,Yes,4.0,medium,No,Small,Yes,Yes,No,Yes,Service,Yes,Both,No,Structured,No,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Online,B2B,High,High,No,High,Masters,Master of Arts,No,Yes,Tier_1,500.0,Low,0.0,0.0,0.0,Low,59.0,Many,30.0,Low,Low,No,No,Low,Bad,No,Yes,No,Yes,No,No,Medium,109189.0,Yes,No,No,3.0,Medium,0.0,5.5,5.2,Not Applicable,5.0,18.0,Trough,2 to 5,9.0,,,,,,,,,,,,,,,,,,,,,
24,Success,2012.0,373.0,Community Betterment,3.0,0.0,Yes,3/1/2012,1700000.0,United States,1.0,0.0,2,0,2,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Both,Yes,Platform,Local,Linear,Yes,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,High,High,Yes,Medium,PhD,Image Processing,Yes,Yes,None,500.0,Low,0.0,0.0,0.0,High,81.0,Many,40.0,Low,Low,No,Yes,Medium,Bad,Yes,Yes,Yes,No,No,No,High,642250.0,Yes,No,No,3.0,High,5.0,3.0,1.7,Not Applicable,14.0,3.55,Peak,2 to 5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Success,2011.0,61.0,Web Analytics,5.0,0.0,Yes,6/1/2011,250000.0,United States,3.0,0.0,2,1,3,No,0.0,Nothing,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,High,High,Yes,Medium,Masters,Electrical Engineering,No,No,None,500.0,Low,0.0,0.0,0.0,Medium,24.0,Many,14.0,Low,Low,No,No,Low,Bad,No,No,No,No,No,No,,3799200.0,Yes,No,No,2.0,Low,3.0,2.5,0.25,Not Applicable,1.0,6.1111111110000005,Plateau,0 to 2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Success,2009.0,155.0,Strategy,5.0,0.0,Yes,1/1/2009,1400000.0,United States,0.0,0.0,3,0,3,No,0.0,low,No,Medium,No,No,Yes,No,Service,Yes,Private,No,Unstructured,No,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,No,No,Yes,Yes,Online,B2B,None,Medium,No,Low,Bachelors,Arts,No,No,Both,307.0,Low,1.0,1.0,1.0,Medium,67.0,Many,0.0,Low,Low,No,No,Medium,Good,No,Yes,Yes,Yes,No,No,High,2497831.0,No,No,Yes,4.0,High,0.0,1.5,1.4,Not Applicable,48.0,48.0,Trough,2 to 5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Success,2013.0,43.0,Social Media,,,No,3/1/2013,1100000.0,United States,6.0,0.0,1,0,1,No,0.0,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Online,B2C,Low,Low,No,Low,PhD,Law,No,No,Tier_2,500.0,Low,0.0,0.0,0.0,Low,53.0,Few,32.0,Low,Low,No,Yes,Medium,Bad,No,No,No,No,No,No,Medium,7253712.0,Yes,No,No,3.0,Medium,0.0,5.0,1.1,Not Applicable,4.0,4.0,Plateau,0 to 2,4.0,,,,,,,,,,,,,,,,,,,,,
28,Success,2007.0,11.0,Strategy,,,yes,11/1/2007,15000000.0,United States,0.0,0.0,2,8,10,Yes,2.0,high,No,Medium,No,No,No,No,Service,No,Private,No,Structured,No,Platform,Local,Linear,Yes,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,No,Medium,Bachelors,Arts,No,Yes,None,500.0,Medium,1.0,1.0,1.0,Medium,71.0,Few,18.0,High,High,Yes,Yes,Medium,Good,Yes,Yes,Yes,Yes,No,Yes,High,296645.0,No,No,Yes,4.0,High,0.0,18.3,15,Yes,36.0,13.62222222,Trigger,5 to 10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
